+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
Baaa! Suzy Sheep. | 咩！小羊苏茜。
Okay, Suzy. Here are three balls. | 好的，苏茜。这里有三个球。
A red one, a blue one and a yellow one. | 一个红色的，一个蓝色的和一个黄色的。
Okay. | 好的。
You have to secretly choose one while my back is turned. | 当我转过身去时，你要悄悄地选一个球。
Okay. | 好的。
Have you chosen one? | 你选好了吗？
Yes. | 是的。
Abracadabra! You chose... Yellow! | 变~变~变~变~！你选的。。。是黄色球！
No. | 不对。
Er. Abracadabra!... Blue! | 呃。变~变~变~变~！。。。是蓝色球！
No. | 不对。
Abracadabra!... Red! | 变~变~变~变~！。。。是红色球！
Yes! It is red! | 对了！它是红的！
Hurray! | 太好了！
Silly Magic Daddy, | 糊涂的神秘爸爸，
you said all three colors! | 你把三种颜色都说了！
Shush... Peppa! Don't tell anyone! | 嘘。。。佩奇！别让别人知道！
Would you like one more trick? | 你们还想再看一个魔术吗？
Yes, please! Whoooo! | 是的，请！ 哇~~！
Close your eyes! No looking! | 闭上你们的眼睛，不准偷看哦！
Say the magic words, ''Abracadabra!'' | （跟我一起）念咒语，“变~变~变~变~！”
Ab-Ra-Ca-Dabra! | 变~变~变~变~！
Open your eyes! | 打开你们的眼睛！
Ooo! | 哇~！
Hurray! My banana birthday cake!! | 太棒了！我的香蕉生日蛋糕！
Blow the candles out, Peppa. | 吹生日蜡烛，佩奇！
Hurray! Happy birthday, Peppa! | 好耶！生日快乐，佩奇！
Thank you, everyone! | 谢谢大家！
This is my best birthday ever! | 这是我过得最棒的生日了！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig.This is my little brother, George. | 我是佩奇。这是我的弟弟乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
The Playground! | 操场！
Peppa and George are at the playground with their friends. | 佩奇和乔治和朋友们在游乐场里玩。
Candy Cat and Pedro Pony are on the climbing frame. | 小猫凯迪和小马佩德罗在玩攀登架。
Suzy Sheep, Danny Dog, and Rebecca Rabbit | 小羊苏茜，小狗丹尼，小兔丽贝卡
are playing on the slide. | 正在玩滑滑梯。
weeee! | 呜呼！
weeee! | 呜呼！
weeee! | 呜呼！
Peppa is playing on the swing. | 佩奇在秋千上玩。
Mummy, Mummy!Push me! Please! | 妈妈，妈妈！推我一下，好不好
Are you ready? | 你准备好了吗？
Yes, I want to go really high. | 是的，我想荡得很高。
weeee!Higher, Mummy! | 再高点，妈妈。
weeee!George wants to play on the swing. | 乔治也想玩秋千。
Now, it's your turn, George. | 现在轮到乔治玩啦。
Hold tight! | 你抓紧啦。
I want to push George. | 我想来推乔治。
Push George gently, Peppa. | 你要轻点推，佩奇。
Yes, Mummy. | 好的，妈妈。
Hold tight, George! | 你抓紧哦，乔治。
weeee!waaaaa!Oh, dear! Peppa has pushed George too high! | 哦，糟糕了！佩奇把乔治推得太高了。
George does not like being up high. | 乔治不喜欢那么高。
Peppa! You know George is a bit scared of heights! | 佩奇，你应该知道乔治他怕高。
Sorry, George! | 对不起，乔治。
Let's play on the climbing frame! | 我们一起玩攀登架吧
Hello, Suzy! | 你好，苏茜
Hello, Danny! | 你好，丹尼
Hello, Peppa! | 你好，佩奇
You are doing it all wrong! | 你们这么做是错的。
This is the proper way to swing across! | 这才是正确推秋千的方法。
Stand back!Ready, steady, go! | 大家请往后站！准备好了，开始！
Look at me! | 看着我！
I'm flying like a bird! | 我像鸟儿一样飞起来了！
Oh! I can't get out! | 哦，我出不来了。
Peppa is stuck in the tire! | 佩奇卡在轮胎里了。
It's not funny! | 一点都不好笑！
Well, it does look a bit funny. | 好吧，看上去确实有点好笑。
We'll have to pull you out. | 我们必须把你拉出来。
Peppa's friends are helping to free her. | 佩奇的朋友们都来帮忙把她拉出来。
Hurray! | 好了！
Thank you, everyone. | 非常感谢大家！
George, do you want to play on the climbing frame? | 乔治，你想不想玩攀登架？
The climbing frame is quite high. | 攀登架非常高。
George does not like being up high. | 乔治不喜欢爬这么高。
waaaa!Sorry, George.Let's play on the slide. | 对不起，乔治。我们一起去玩滑梯吧。
Yes! The slide! | 好的，玩滑梯。
Peppa loves the slide.Everyone loves the slide. | 佩奇喜欢玩滑梯。每个人都喜欢玩滑梯。
Mummy! Daddy! Look at me! Ready, steady, go! | 妈妈，爸爸，看看我。准备好了，走！
George wants to play on the slide. | 乔治也想玩滑梯。
Are you sure, George? It is a bit high. | 你确定吗，乔治？这可有点高呀。
Alright, I'll help you up the steps. | 好吧，我来帮你上楼梯。
Oh, dear! It is a bit too high for George. | 哦，天哦！这对乔治来说有点高。
waaaa! | 哇哇哇
Don't cry, George; | 不要哭，乔治
I'll slide down with you. | 我和你一起滑下去。
Daddy, you're too big to go down the slide! | 爸爸，你个头太大滑不下去的！
Don't be silly, Peppa,I'm not too big. | 不要犯傻，佩奇，我个头不大。
Stand back! Ready,steady, go! | 往后站！准备，好了，走！
Daddy Pig is stuck! | 爸爸卡住了！
It's not funny! | 有什么好笑的！
It looks very funny, Daddy. | 看起来非常的好笑，爸爸。
I suppose it is a bit funny. | 我想也许真的有点好笑。
We'll have to push you down. | 我们得把你推下去。
Daddy's tummy is just like a bouncy castle! | 爸爸的肚子就像一个充气城堡。
George loves bouncing on Daddy's tummy. | 乔治喜欢在爸爸的肚子上跳。
George isn't afraid of heights anymore! | 乔治再也不怕高了！
I'm Peppa Pig.This is my little brother, George. | 我是小猪佩奇。这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig.This is my little brother, George. | 我是佩奇。这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
Tidying Up! | 整理房间！
Peppa and George are in their bedroom playing with their toys. | 佩奇和乔治在卧室里玩玩具。
George, let's play dollies and dinosaurs. | 我们来玩玩偶和恐龙吧。
what is that? It looks like a horrible monster! | 这是什么东西呀？听上去像一头恐怖的怪兽！
Dine-saw! Grrr! | 恐龙！
Arrrgh! It's a dinosaur!Help! Help! | 啊！是一头恐龙！救命啊！救命啊！
Raarrr!Arrrgh! Help! Help! | 啊！救命啊！救命啊！
Daddy Pig is in the sitting room, reading his newspaper. | 猪爸爸在客厅里看报纸。
Mummy Pig is reading her book. | 猪妈妈在看书。
Arrrgh! Help! Help! | 啊！救命啊！救命啊！
What are they doing? | 他们俩个人在干什么？
Arrrgh! Help! Help! | 啊！救命啊！救命啊！
Peppa, George,What's going on? | 佩奇，乔治，发生什么事了？
What's all this noise? | 这是什么声音？
Wooooah! Heeelp! | 哇!救-命啊！
What on earth is going on? | 到底发生什么事情了？
What a lot of noise! | 怎么这么吵？
And look at all this mess on the floor! | 你们看看地上怎么这么乱啊？
Someone could trip over and hurt themselves. | 一不小心就会被绊倒，受伤的。
Someone did trip over and hurt themselves! | 确实已经有人绊倒，受伤了。
Oh, dear! Poor Daddy Pig. | 哦，糟糕！可怜的猪爸爸。
Come on, children,let's do a bit of tidying up. | 来吧，孩子们，我们来整理一下房间。
But Mummy, | 但是妈妈，
we're playing dolliesand dinosaurs. | 我们现在在玩玩偶和恐龙呢。
You can play again when you've tidied up. | 你整理干净后可以再玩。
But it's all George's mess. | 可是这些都是乔治弄乱的。
Is it really? | 是这样吗？
So this must be one of George's lovely dresses? | 那这条肯定是乔治的漂亮裙子了？
No. | 不是。
Well, maybe some of the messes is mine. | 好吧，可能有一些是我弄乱的。
Right! I'll help George tidy | 好的！我来帮乔治整理
and Mummy Pig can help Peppa. | 妈妈帮佩奇整理。
We can have a race. Girls against boys! | 我们来个比赛吧。女生对男生。
Good idea! Let's seewho can tidy up first. | 好主意！让我们来看看谁先整理完。
Ready, steady, go! | 准备，好的，开始！
We're winning! | 我们要赢了！
No, you're not! | 不，你们是赢不了的！
There! Oh! what's this? | 放这里。哦！这是什么？
Teddy! I've been looking for you. | 是泰迪！我正在找你。
Quick, Peppa! Put Teddy in your toy basket. | 快点，佩奇！把泰迪放进你的玩具篮里。
There! Now these books. Lovely! | 好啦！现在该整理书了。这样就好了！
What do we have here? | 瞧，我们找到了什么？
Dine-saw! | 恐龙！
That's right!It's a dinosaur book. | 没错！是一本恐龙故事书。
It's George's pop-up dinosaur book. | 这本是乔治的立体（弹起插画）恐龙书。
Oh!This is a tyrannosaurus rex. | 这是一头霸王龙。
Tyrannosaurus rex. | 霸王龙。
That's right! | 说得对！
Oh! This is a brontosaurus. | 哦！这是一头雷龙。
Brontosaurus. | 雷龙。
Yes.And this is a triceratops. | 对。还有这头叫三角龙。
Try-cy-tops. | 三角龙。
Well done, George. | 念得好，乔治。
George loves dinosaurs. | 乔治最喜欢恐龙了。
Daddy, George, you've stopped tidying up! | 爸爸，乔治，你们怎么停下来不整理了？
You'll lose the race! | 你们要输掉比赛了！
Oh, yes, the race! | 哦，对的，还有比赛！
Come on, George, put this back on the bookshelf. | 快点，乔治，把书放回书架。
Daddy, you're very slow at tidying up. | 爸爸，你们整理得实在太慢了。
Mummy and I are going to win. | 妈妈和我要赢了。
No! we're going to win! | 不会的！我们会赢的！
We win! | 我们赢了！
No! We win! | 不！是我们赢了！
We all win. Look how tidy the room is. | 我们都赢了。看看房间现在有多干净！
Hurray! | 好棒！
What a tidy room! | 房间很整洁！
Well done, everyone. | 大家做得不错.
Mummy, now that we've tidied our room, | 妈妈，现在我们把房间整理干净了，
can we play dollies and dinosaurs again? | 是不是可以继续玩玩偶和恐龙了？
Yes, you can carry on with your game now. | 是的，你们现在可以继续玩游戏了。
Yippee! | 太棒了！
Where are my dolls? Where is Mr. Dinosaur? | 我的玩偶呢？你的恐龙先生呢?
Here they are! | 在这里呢！
Grrr! Dine-saw! | Grrr! 恐龙！
Arrgh! It's a dinosaur! | 啊！恐龙来了！
Help! Help! | 救命！救命！
Oh, dear, Grrr! | 哦，糟糕， Grrr!
The room is untidy again. | 房间又乱了！
Oh!Oh!Well, at least it was tidy for a bit. | 好吧，至少干净了那么一少会。
I'm Peppa Pig.This is my little brother, George. | 我是小猪佩奇。这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. This is my little brother, George. | 我是佩奇。这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
Frogs and worms and Butterflies! | 青蛙，小虫和蝴蝶！
Peppa and George are helping Grandpa Pig in his Garden. | 佩奇和乔治在花园里帮猪爷爷干活。
What a beautiful butterfly. | 真是一只漂亮的蝴蝶。
Grandpa, why do butterflies like flowers? | 爷爷，为什么蝴蝶会喜欢花朵呢？
They get their food from flowers. | 它们可以从花朵里获取食物。
How? | 怎么做？
They have very long tongues. | 它们有一个非常长的吸口器。
Longer than mine? | 比我的舌头还长吗？
Oh, yes, the butterfly's tongue is even longer than yours. | 哦，是的，蝴蝶的吸口器比你的舌头长多了。
She uses it to drink from the flower. | 她用吸口器吸取花朵中的花蜜。
Slurrrrp!Burp!wow! | 哇！
Peppa, the butterfly thinks you're a flower. | 佩奇，蝴蝶以为你是一朵花。
I'm not a flower! I'm Peppa Pig! | 我不是花朵！我是小猪佩奇！
She is so pretty. I want to be a butterfly. | 她真的好漂亮啊。我想做一只蝴蝶。
Peppa is playing at being a butterfly. | 佩奇假装自己是一只蝴蝶。
I'm a little butterfly. | 我是一只小蝴蝶。
George wants to play, too. | 乔治也想去玩。
George! I'm the butterfly! | 乔治！我才是蝴蝶！
You have to be something else. | 你只能去假扮别的东西了。
I know! You can be a wriggly worm! | 我知道了。你可以做一条蠕动的小虫！
Look! Look! I'm a butterfly. | 看看，我是一只蝴蝶。
Oh, dear! George does not want to be a worm. | 哦，糟糕了！乔治不想做一只小虫。
He wants to be a butterfly. | 他想扮成一只蝴蝶。
George, when I was a little piggy, | 乔治，当我还是小猪的时候，
I used to like playing at being a worm. | 我常常喜欢扮成一只小虫。
It's very easy to be a worm. | 做小虫其实很简单的。
I'll show you how. | 我来教你怎么做。
First, you have to lie down on the ground. | 首先，你要趴在地上。
Then, you wriggle around. | 然后，你全身摆动起来。
I'm a wriggly worm! | 我是一条蠕动的小虫！
George and Grandpa Pig are having such fun being wriggly worms. | 乔治与猪爷爷假扮蠕动的小虫，玩得非常开心。
George and Grandpa Pig are having such fun being wriggly worms. | 乔治与猪爷爷假扮小虫，玩得非常开心。
I'm a little butterfly, I'm a little butterfly. | 我是一只小蝴蝶，我是一只小蝴蝶。
Look! Grandpa! I'm a butterfly! | 看，爷爷，我是一只蝴蝶。
Yes, Peppa, you're a beautiful butterfly. | 是的，佩奇，你是一只美丽的蝴蝶。
Grandpa! George! What are you doing? | 爷爷，乔治，你们在干什么？
We are wriggly worms. | 我们是二条蠕动的小虫。
I want to be a wriggly worm, too! | 我也想假扮成为一条蠕动的小虫。
I'm a wriggly worm! | 我是一条蠕动的小虫！
I'm a wriggly worm! | 我是一条蠕动的小虫！
I'm a wriggly worm, I'm a wriggly worm. | 我是一条蠕动的小虫！我是一条蠕动的小虫！
How do you do? I love you! | 你好不好？我爱你！
I'm a wriggly worm. | 我是一条蠕动的小虫！
That was fun. | 实在太有意思！
What animal do you want to be now? | 你们现在还想假扮什么动物啊？
Hmmm! I don't know. | 嗯！我不知道。
Look, Grandpa! There's a little frog! | 看，爷爷，这有一只小青蛙。
Why don't you play at being frogs? | 你们为什么不假扮成一只青蛙呢？
Hmmm, frogs are not as pretty as butterflies | 嗯，可是青蛙没有蝴蝶那么漂亮
or as wriggly as worms. | 也不会像小虫一样扭动。
But frogs do play a game you like. | 但是青蛙会玩你喜欢的游戏。
Hmmm... do frogs play dolls' houses? | 嗯。。。。。。青蛙会玩玩偶之家吗？
Silly Peppa. | 可爱的佩奇。
What's your favorite game? | 你最喜欢的游戏是什么？
Jumping in muddy puddles! | 在泥坑里跳！
Yes! Frogs love jumping in muddy puddles. | 是的！青蛙也喜欢在泥坑里跳。
Yes, George! Let's play frogs! | 是的，乔治，我们来假扮青蛙吧！
I'm a little froggy! | 我是一只小青蛙！
The froggies have found a nice big muddy puddle to play in. | “青蛙们”找到了一个大泥坑来玩。
Peppa and George love jumping up and down in muddy puddles. | 佩奇和乔治喜欢在泥坑里跳来跳去。
Everyone loves jumping up and down in muddy puddles. | 大家喜欢在泥坑里跳来跳去。
Butterflies and worms are very nice! | 蝴蝶和小虫都非常好！
But I like frogs the best! | 但我最喜欢青蛙！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Daddy Puts up a Picture! | 爸爸挂相片！
Mummy Pig and Daddy Pig | 猪妈妈和猪爸爸
have a new picture of Peppa and George. | 新拍了一张佩奇和乔治的照片。
We should put this lovely, new picture on the wall. | 我们该把这张可爱的照片挂在墙上。
Leave it to me. | 交给我来挂。
I am the DIY expert of the house. | 我是这个家里动手能力最强的。
Are you sure you can do it? | 你确定你能做到吗？
Of course! I'll just put a nail in the wall | 当然可以！我会在墙上钉个钉子
and hang the picture on it. | 然后把照片挂上去。
Very good. I'm just off | 那太好了。那我就出发
to visit Granny and Grandpa Pig. | 去看猪奶奶和猪爷爷。
I'll see you later. | 我们一会见。
And please, don't make a mess. | 千万不要把房子弄乱。
Mess? | 弄乱？怎么会?
Goodbye. Goodbye. | 再见。再见。
Daddy, can we help put up the picture? | 爸爸，我们可以帮你挂照片吗？
You can watch | 你们看着
and then you'll learn how to do it properly. | 然后你们就知道怎么做了。
First, I need a tape measure. And a pencil. | 首先，我要一把卷尺。和一个铅笔。
That is where I'm going to put the nail. | 这就是我要钉钉子的地方。
Don't break the wall, Daddy. | 不要把墙弄坏了，爸爸。
Now I need a hammer and a nail. | 现在，我需要一把锤子和一个钉子。
Stand back, children, | 往后站，孩子们，
and watch a craftsman at work. | 好好欣赏工匠的本事。
Daddy Pig is going to knock the nail into the wall. | 猪爸爸要把钉子钉进墙里。
Don't break the wall, Daddy. | 不要把墙弄坏了，爸爸。
Don't be silly, Peppa. | 不用发傻，佩奇。
Easy as pie. | 小菜一碟。
Oh, it's not meant to do that. | 哦，墙不应该这样的。
Daddy Pig has made a big crack in the wall. | 猪爸爸把墙弄了一条大的裂缝。
Oh, Daddy! You've broken the wall. | 哦，爸爸！你把墙给弄坏了。
It's just a tiny crack. | 只是一条小裂缝而已。
The picture will hide it. | 照片会遮住它的。
There! | 像这样！
I can still see the crack, Daddy. | 我还是可以看到裂缝，爸爸。
Yes, I'll just take the nail out | 是呀，那我把钉子拿出来
and fill in the crack. | 把裂缝填上。
Don't make a mess, Daddy. | 别把家里弄乱了，爸爸。
Don't be silly, Peppa. | 不要发傻，佩奇。
It's coming out. | 要拔出来了。
WOOAH!Oh, Daddy! | 哦，爸爸！
Now you really have broken the wall. | 现在，你真的把墙弄坏了。
Do you think Mummy will notice? | 你觉得妈妈会注意到吗？
Er... Yes, I think she might. | Er...是的，我想她会注意到的。
Quick, George! | 快来，乔治！
What are they doing? | 他们俩在做什么呢？
Daddy, we can see you. | 爸爸，我们可以看到你。
Hmmmm. | 嗯。
Daddy Pig has to mend the wall before Mummy Pig comes home. | 猪爸爸必须在猪妈妈回来前将墙修好。
Brick, please. | 请递给我一块砖。
First, Daddy Pig fills the hole with bricks. | 首先，猪爸爸要先用砖填好墙洞。
There. | 好了。
Next, Daddy Pig puts plaster over the bricks. | 接着，猪爸爸将水泥糊在砖上。
Easy as pie! | 小菜一碟！
Then Daddy Pig paints the wall. | 然后，猪爸爸把墙粉刷好。
Good as new! | 和新的一样！
The wall is mended. | 墙修好了。
Hurray! | 太好了！
But look at all the mess they have made. | 但是看看家里都乱成了什么样呀。
Goodness me! | 我的天啊！
We had better clean up before Mummy comes back. | 我们得在猪妈妈回来前打扫干净。
First, Daddy Pig quickly washes Peppa and George. | 首先，猪爸爸快速地将佩奇和乔治清洗干净。
Then peppa vacuums the floor. | 然后佩奇用吸尘器清洁了地板。
And Daddy Pig tidies up the tools. | 猪爸爸整理了工具。
Mummy! | 妈妈！
Mummy Pig is home. | 猪妈妈回来了。
Mummy! | 妈妈！
Mummy's here! | 妈妈回来了！
Quick! Pretend nothing has happened. | 快！假装什么事都没有发生。
Hello. | 你们好。
Hello. | 你好。
What have you been doing? | 你们都做了些什么？
Oh, nothing. | 哦，没什么。
Yes. I can see you've been doing nothing. | 是的。我能看出来你什么都没有做。
I thought you were going to put the picture up. | 我还以为你会把照片挂起来。
In all the excitement, Daddy Pig has forgotten to put the picture up. | 忙了半天，最后猪爸爸忘了把照片挂起来。
Oh! | 哦！
Well, I'm no expert, but I'm sure it's quite easy. | 好吧，我虽然不是专家，但是我相信应该挺简单的。
There! | 好了！
Hmmm... yes, that did look quite easy. | 嗯。。。是的，看上去确实很容易。
But when you did it, Daddy,it looked really hard. | 但爸爸你这样做的时候，看上去很难。
Shhhhh! Peppa, don't tell anyone! | 嘘！佩奇，你不要说出来！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
At the Beach! | 去海边玩！
Peppa and her family are going to the beach. | 佩奇和家人一起去海边玩。
Peppa and George love going to the beach. | 佩奇和乔治最喜欢去海边玩了。
What a lot of stuff! | 这么多的东西！
We must be careful not to forget anything when we go. | 我们一定要小心，别走的时候把东西落下了。
Sunshade, beach-bag,towels, | 遮阳伞，海滩包，毛巾，
buckets and spades, and a spotty ball. | 水桶，铲子，还有一个沙滩球。
Good. Now, before you start playing, | 很好。现在，在你们玩之前
you need some sun cream on. | 都得涂上防晒霜。
The sun is very hot, | 太阳太毒了，
so Peppa and George have to have sun cream on. | 所以佩奇和乔治要涂上防晒霜。
Let's try out this spotty ball! | 让我们来玩玩这个沙滩球吧！
It seems to work. | 看起来能玩。
What a great spotty ball! | 真是一个不错的沙滩球！
George, you throw the ball and I will catch it! | 乔治，你来扔球然后我来接它！
George! Catch! | 乔治，接住了！
Oh, dear. George is too little to catch the ball. | 哦，糟糕了。乔治太小接不住球。
Never mind, George. | 没事的，乔治。
Would you and Peppa like to have a paddle in the sea? | 你与佩奇想去海里趟水吗？
Yes, please, Daddy! | 是的，很想，爸爸！
Let's put your water-wings on. | 那就把臂圈带上吧。
There we go. | 好，行了。
You look very smart in your water-wings, George. | 乔治，你带上臂圈后，看起来很可爱。
My turn! My turn! | 到我了，到我了！
Good. | 好了。
Now we can play in the water. | 现在我们可以下水玩了。
Hurray! | 太好了！
Is the water cold? | 海水冷不冷？
It's lovely and warm! | 暖暖的，很舒服！
Aaaah! | 啊~！
Whaaoo! | 哇~！
Steady on! | 慢一点！
You started it, Daddy Pig! | 是你先开始的，猪爸爸！
Woah! Maybe that's enough splashing. | 哇！应该泼够了吧。
Daddy, I love being at the beach. | 爸爸，我真喜欢在海边玩。
Peppa and George love the beach. | 佩奇和乔治很喜欢在海滩玩。
Everyone loves the beach. | 大家都很喜欢在海滩玩。
Peppa, George, | 佩奇，乔治，
Would you like to play with your buckets and spades? | 你们想玩水桶和铲子吗？
Yes, please, Mummy! | 是的，妈妈！
Daddy! Daddy! | 爸爸，爸爸！
Can we bury you in sand? | 我们可以把你埋在沙子里吗？
Err... well... | Err... 这个...
Please, Daddy! | 求你了，爸爸！
Oh, alright! | 哦，好吧！
Yippee! | 太棒了！
Peppa and George are burying Daddy Pig in the sand! | 佩奇和乔治把猪爸爸埋在沙子里。
Steady on! | 慢慢来！
There! | 好了！
Now you can't escape! | 现在你逃不了，爸爸！
My head is getting a bit hot. | 我的头有点热。
Can I have my straw hat? | 帮我戴草帽吧？
Well... if you say ''please''. | 好的。。。如果你说“请”的话。
Please, can I have my straw hat? | 请帮我戴草帽吧！
Yes, you may, Daddy. | 那当然可以，爸爸。
That's nice. Maybe I'll just have a little sleep... | 这样就好了。也许我可以在这里小睡一会。。。
George, let's make sand castles! | 乔治，我们来搭沙滩城堡吧！
Peppa and George are making sand castles! | 佩奇和乔治正在搭城堡。
First, we put sand in the buckets.Like this. | 首先，我们把沙铲进水桶。像这样。
We turn the buckets upside down and tap them... | 我们将水桶反转，轻拍一下。。。
We turn the buckets upside down and tap them... | 我们将水桶反转，轻拍一下。。。
And lift the bucket up! Hey, presto! | 然后提起来！嘿，变出来吧！
A sandcastle! | 一座沙滩城堡！
Hey, presto! | 嘿，变出来吧！
Another sand castle! | 另一座沙滩城堡！
Peppa, George, home time! | 佩奇，乔治，该回家了！
Don't leave any stuff behind. | 千万别落下东西哦。
Let's check that we haven't forgotten anything... | 让我们来检查一下我们有没有落下了些什么。。。
Towels, beach-bag, sunshade, and the spotty ball. | 毛巾，海滩袋，遮阳伞，和沙滩球。
That's everything! | 这是所有东西了！
I'm sure we've forgotten something... | 我觉得我们好像忘了点什么东西。。。
Of course! We forgot the hat! | 当然！我们忘记了帽子！
Daddy! We forgot Daddy! | 爸爸！我们忘记了爸爸！
Yes, we forgot Daddy Pig! | 是的，我们忘记了爸爸！
Eh? What? | Eh?怎么啦？
Daddy, we almost left you behind! | 爸爸，我们差点把你落在沙滩上了！
But George remembered you. | 但乔治想起了你！
Well, I'm glad George remembered me! | 好的，我很高兴乔治想起了我！
I'm Peppa Pig. This is my little brother, George. | 我是佩奇。这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig.This is my little brother, George. | 我是佩奇。这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇。
Cleaning the Car! | 清洁汽车
Daddy Pig is taking the family for a drive in the country. | 猪爸爸要走带全家人出去乡村玩。
Come on! Is everyone ready? | 快点！大家都准备好了吗？
Ready! | 准备好了！
Yes, Daddy Pig, we're ready. | 是的，猪爸爸，我们准备好了。
But the car isn't ready! | 但车没有准备好！
Look how messy it is! | 看看车多脏啊！
Oh, it's not too bad. | 哦，它也不是很糟啊。
You should see how messy it is inside! | 你应该看看里边有多乱。
Oh! | 哦！
Naughty, messy Daddy! | 淘气，邋遢的爸爸！
Look at all this rubbish! Newspapers! | 看看这些垃圾！一推报纸！
They're mine. | 这是我的。
Sweets! | 甜食！
They're mine! | 它们是我的。
Mr. Dinosaur! | 还有恐龙先生！
Dine-saw! Grrrr! | 恐龙！Grrrr!
We must clean the car before we go for a drive. | 在我们出发之前，必须把车子清洁干净！
Oh, right you are, Mummy Pig. | 哦，你说得对，猪妈妈。
Mummy, can we help to clean the car? | 妈妈，我们能帮忙洗车吗？
Yes, if you want to. | 是的，如果你愿意。
Hurray! | 太好了！
Daddy Pig has some warm soapy water to wash the car. | 猪爸爸取了些温肥皂水用来洗车。
Daddy pig is washing the roof. | 猪爸爸在清洁车顶。
Mummy Pig is washing the bonnet. | 猪妈妈在清洁引擎盖。
Peppa is washing the doors. | 佩奇在清洁车门。
George wants to wash the windows. | 乔治想去清洁车窗。
But he is too little. | 但是他太矮了。
Poor George. Let me help you. | 可怜的乔治，让我来帮你。
Oh, dear! George has dropped his sponge in a muddy puddle. | 哦，糟糕！乔治把海绵掉在泥坑里了。
George, you're making the car all muddy again! | 乔治，你又把车子弄脏了！
I will wash the mud off. | 我来帮你把泥冲走。
Peppa, don't use the...muddy water. | 佩奇，不要用。。。脏泥水。
Oh, dear! Peppa has thrown the muddy water all over the car. | 哦，糟糕！佩奇用泥水把车洒了个遍！
Oh. | 哦。
Never mind. | 没关系。
We can use the garden hose to clean it off. | 我们用花园的水管把它冲干净。
Yes! Yes! Can I hold the hose? | 没错，没错。我去拿水管好吧？
Peppa holds the hose and Daddy Pig turns on the water. | 佩奇拿着水管，猪爸爸打开了水龙头。
Where's the water? Wahhh! | 水在哪里？哇~！
Arrgh! Peppa! Stop! | 啊！佩奇，停下来！
Sorry, Mummy. | 对不起，妈妈。
Oh. | 哦。
Argh! Daddy Pig! Please turn off the water! | 啊！猪爸爸，请把水龙头关上。
Oh! No need to panic. | 哦！不要惊慌。
Oh, dear, everyone is wet. | 哦，糟糕，大家都湿透了。
At least the car has been washed. | 至少车被洗干净了。
We've all been washed. | 我们也被洗干净了。
You go and dry yourseIves while I polish the car. | 你们去擦干衣服，我来擦亮车。
See you later. | 那一会见。
See you later. | 一会见。
Daddy Pig is polishing the car so well, | 猪爸爸把车擦得很干净，
he can see his face in it. | 可以映出他的脸。
What a funny face! | 一张搞笑的脸！
Oh! More funny faces! | 哦！更多搞笑的脸！
It's Peppa and George! | 是佩奇和乔治的脸！
And Mummy Pig. | 还有猪妈妈的脸。
What a lovely, shiny car. | 好一辆可爱，闪闪发光的车。
Yes, I am a bit of an expert at these things. | 没错，我可是这方面的专家。
Come on, I'll drive today. | 来吧，今天我来开车。
Is everybody ready? | 大家准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们就出发了！
I hope you will all keep this car clean today. | 我希望你们一直能保持车干净。
Yes, Mummy Pig. | 好的，猪妈妈。
Arrgh! | 啊！
Mummy, now you've made the car all muddy again. | 妈妈，现在可是你把车子弄脏了。
Naughty Mummy. | 淘气的妈妈。
Naughty, messy Mummy. | 淘气，邋遢的妈妈。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
